allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,1,1,1,2,5,3,1,3,4,2,9,3,7,1,6,5,1,2
1,4,2,1,1,1,7,3,4,3,6,1,10,4,3,2,2,2,1,2
2,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,2,3,3
3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,3,3,3,3
