allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,4,3,1,1,1,1,1,6,4,3,5,2,3,2,3,1,1,3
1,3,2,2,1,1,3,1,3,2,2,6,3,6,3,2,2,1,2
2,2,3,2,1,1,1,2,2,1,3,1,3,1,2,2,9,2,7
3,1,1,2,6,0,2,2,0,2,3,4,4,3,9,0,3,1,2
