allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,1,1,1,2,3,1,3,6,2,2,6,5,2,1,4,2,2
1,4,1,3,3,2,0,3,2,3,7,2,3,2,1,2,1,0,6
2,2,2,1,2,2,4,1,3,2,2,2,9,2,1,1,1,2,6
3,2,3,1,1,0,2,3,2,3,2,6,4,3,1,2,2,5,3
