allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,3,1,2,4,3,1,4,5,6,2,5,2,1,1,1,0,3
1,4,0,1,3,2,4,2,1,2,3,4,11,1,2,1,2,2,0
2,1,3,1,2,2,5,1,2,3,2,3,5,2,1,2,2,3,5
3,1,2,3,1,1,4,1,1,3,4,3,9,1,2,3,2,1,3
