allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,2,2,1,1,2,1,2,3,3,8,2,2,2,2,4,2,5
1,1,5,1,1,1,3,2,1,2,3,7,2,3,1,1,3,2,6
2,2,2,1,2,1,2,2,5,3,1,10,2,2,1,1,1,2,5
3,2,2,2,2,4,1,2,0,1,1,6,3,3,3,3,3,4,3
