allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,2,1,6,1,2,2,2,5,2,8,3,0,2,1,1,2,4
1,2,4,1,1,1,4,6,1,1,2,8,1,5,2,1,3,1,1
2,2,2,2,2,0,3,1,4,3,1,11,1,1,3,2,1,1,5
3,2,5,3,2,0,2,1,3,2,1,5,2,1,5,2,3,2,4
