allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,4,2,2,0,2,0,2,5,5,4,4,2,3,2,4,1,1,2
1,4,1,3,0,3,1,3,2,2,4,6,3,2,4,1,2,2,2
2,1,3,1,2,2,1,2,3,1,3,7,3,2,2,1,0,3,8
3,1,3,2,0,1,2,1,0,2,0,9,1,3,5,6,3,5,1
