allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,3,1,1,1,6,2,1,4,1,0,6,3,2,2,1,2,5,2
1,4,4,0,2,1,1,1,2,4,3,2,3,3,1,0,3,6,1,4
2,0,3,1,3,1,1,1,4,0,2,4,3,1,3,4,4,3,5,2
3,1,2,3,1,2,2,3,1,4,1,5,5,2,1,4,2,3,2,1
