ambulance_id,seconds_worked
0,7647
1,20799
2,17430
3,14801
4,0
5,22699
6,25382
7,16991
8,23904
9,13448
10,20714
11,23104
12,22340
13,25365
14,10898
15,14588
16,12594
17,14633
18,22645
19,26433
20,33363
21,19726
22,33802
23,19813
24,17260
25,22934
26,34022
27,30316
28,28359
29,14128
30,16102
31,9817
32,25265
33,27330
34,39162
35,16423
36,23248
37,28560
38,28463
39,17723
40,16409
41,26912
42,29249
43,32903
44,22350
