allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,2,1,1,1,4,3,2,1,2,8,5,1,2,2,3,1,2
1,3,1,1,1,1,1,2,1,5,8,2,2,1,2,4,1,2,2,5
2,1,1,1,2,2,0,2,2,4,2,7,7,2,2,1,5,2,1,1
3,1,2,2,2,2,3,2,3,2,4,3,4,2,2,2,2,2,2,3
