allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,1,2,1,1,1,1,3,1,3,9,1,2,3,4,1,2,3
1,1,2,2,1,1,1,2,2,2,4,3,7,4,2,2,1,2,2,2
2,1,3,1,2,0,4,1,2,4,5,1,7,3,1,1,2,2,1,2
3,2,3,1,1,1,4,0,2,1,5,2,4,3,4,1,1,4,2,2
