allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,4,1,1,2,1,1,1,4,5,1,6,4,1,2,3,3,3,2
1,3,2,2,1,3,1,2,4,5,3,4,3,1,2,1,4,2,2
2,1,1,1,1,4,3,3,2,10,2,4,2,2,1,1,3,2,2
3,4,2,2,2,3,3,2,1,0,1,7,4,2,3,3,1,3,2
