ambulance_id,seconds_worked
0,41978
1,29972
2,39692
3,41441
4,39151
5,41822
6,31893
7,36104
8,34811
9,24521
10,34515
11,35868
12,36561
13,42172
14,31260
15,31047
16,42235
17,32272
18,37260
19,34914
20,24273
21,34786
22,26939
23,28598
24,25781
25,34453
26,30102
27,30786
28,32418
29,24933
30,33511
31,32657
32,32144
33,30276
34,24444
35,33408
36,37533
37,46482
38,26577
39,26149
40,32215
41,36869
42,27888
43,38429
44,35846
