allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,3,2,2,2,2,3,3,3,2,2,2,2,3,2,2,3,2,2,3
1,2,2,2,2,3,3,2,2,2,2,3,3,2,2,3,3,2,2,3
2,2,2,1,1,1,2,1,2,3,3,4,6,3,1,2,2,4,3,2
3,1,1,1,1,1,3,3,3,3,3,1,6,4,4,2,1,2,2,3
4,1,2,1,1,1,2,3,3,5,5,2,3,1,4,2,2,3,2,2
5,1,1,1,1,1,5,1,1,5,1,1,5,4,3,1,3,5,1,4
6,1,2,1,1,1,4,2,2,1,3,3,5,6,2,1,5,3,1,1
7,2,2,1,1,1,3,1,3,2,6,2,5,3,1,2,1,4,1,4
8,1,2,2,1,1,2,3,3,2,2,6,7,1,2,2,2,1,2,3
9,2,4,2,1,1,5,2,3,1,4,3,3,3,2,1,1,2,3,2
10,2,1,1,1,2,1,1,3,1,5,3,4,3,3,2,3,4,1,4
11,2,2,2,1,1,5,2,3,7,2,2,4,1,1,2,2,2,2,2
12,2,1,3,1,4,3,3,2,3,3,1,4,2,1,1,3,4,2,2
13,1,3,1,2,1,6,6,1,3,1,1,4,1,3,3,1,1,1,5
14,1,1,2,1,1,4,3,2,4,5,1,7,2,1,1,3,2,3,1
15,3,2,1,3,1,5,1,2,4,3,2,3,3,1,2,3,2,3,1
16,1,2,1,1,1,3,2,3,3,3,3,5,1,5,1,1,3,3,3
17,1,2,1,1,1,1,1,1,1,8,4,5,1,4,2,3,3,3,2
18,2,2,1,1,1,2,4,4,2,1,4,6,2,3,1,1,3,1,4
