allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,1,1,1,1,3,1,1,4,3,3,13,1,1,2,1,4,1,2
1,0,1,2,1,3,4,2,2,0,3,3,10,2,2,3,2,2,2,1
2,2,2,1,2,4,1,3,2,3,3,1,1,4,2,2,1,1,3,7
3,1,1,1,3,0,5,2,1,3,2,3,6,2,1,4,3,4,2,1
4,2,1,1,2,1,3,2,2,3,1,4,7,3,1,2,2,1,2,5
5,2,2,1,1,1,1,2,2,4,4,4,5,3,2,2,3,2,2,2
6,2,1,3,1,3,4,1,5,2,4,2,3,0,3,3,1,2,0,5
7,3,0,0,0,1,3,1,2,3,3,1,8,2,2,2,4,1,5,4
8,3,1,1,2,1,4,2,1,3,1,1,9,1,1,2,4,4,2,2
9,1,1,2,1,3,2,1,3,3,5,4,9,1,1,1,1,3,2,1
10,1,1,2,1,2,3,3,2,3,1,2,9,5,1,2,2,1,2,2
11,1,1,1,0,2,6,1,4,2,3,3,5,2,1,2,3,4,1,3
12,1,1,1,1,4,2,1,1,1,4,4,4,1,3,2,2,5,1,6
