allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,3,3,3,2,3,3,2,3,2,2,0,3,2,3,2,2,3,2,2
1,3,3,3,2,2,2,2,2,2,2,2,2,4,2,2,2,3,3,2
2,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2
3,2,2,3,2,2,2,2,2,3,2,3,3,2,3,2,3,2,3,2
4,3,2,2,3,2,2,2,2,3,2,2,2,3,3,3,2,2,3,2
5,2,2,2,2,2,2,2,2,2,3,3,2,3,1,3,4,2,4,2
6,2,2,2,3,2,3,2,2,3,2,1,3,3,2,3,3,3,2,2
7,2,3,3,2,2,2,2,4,3,2,1,3,2,3,2,3,2,2,2
8,3,2,2,2,3,2,3,2,3,3,2,2,3,1,2,2,3,3,2
9,3,3,2,1,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2
10,3,2,2,3,2,2,3,2,3,3,2,4,2,3,2,1,2,1,3
11,3,2,3,3,2,2,2,3,3,2,2,2,2,2,2,3,2,3,2
12,2,3,2,2,2,2,4,3,3,2,2,1,2,3,2,4,1,2,3
13,3,2,2,3,3,2,3,2,2,2,2,2,2,3,3,3,2,2,2
14,2,2,3,2,3,2,4,2,2,2,2,2,2,3,3,3,2,2,2
15,1,2,2,3,3,3,2,2,2,3,2,2,3,3,2,2,3,3,2
16,3,3,2,2,3,2,2,2,3,2,1,3,1,4,2,3,2,2,3
