allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,3,2,3,2,3,2,3,3,2,2,3,2,2,2,3,2,2
1,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,3
2,3,2,2,2,3,2,2,2,3,2,2,3,3,3,2,2,2,2,3
3,3,3,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,2,2
4,3,2,3,2,2,2,3,2,2,3,2,3,2,2,2,2,3,2,3
5,2,3,3,2,2,3,2,2,2,3,2,2,3,2,2,3,3,2,2
6,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2
7,2,2,3,2,2,3,3,3,2,3,2,2,3,2,2,2,2,2,3
8,3,2,3,2,2,2,2,3,2,2,2,2,3,2,3,2,3,2,3
9,2,3,2,2,2,2,2,3,2,3,2,3,3,2,3,2,3,2,2
10,2,3,2,2,3,2,2,2,3,3,3,2,3,2,2,3,2,2,2
11,2,3,3,3,2,2,2,3,2,2,2,2,2,3,3,2,2,3,2
12,2,2,3,2,2,3,3,3,2,2,2,3,2,2,3,2,2,3,2
13,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2,2,3,3,3
14,3,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,3,3
15,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,3,3,3
16,2,3,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,3,2
17,3,2,2,2,2,2,3,3,3,2,2,3,3,2,2,2,2,3,2
18,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2
19,3,2,2,2,2,2,2,2,2,3,3,2,3,2,3,3,2,3,2
20,3,2,2,3,2,2,2,2,3,2,3,2,2,3,3,3,2,2,2
21,2,2,2,3,2,3,2,2,3,2,3,2,2,2,3,2,2,3,3
22,3,2,2,2,3,3,2,2,2,3,3,2,2,2,2,3,2,2,3
