allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,1,2,1,3,3,2,4,3,1,3,2,1,2,4,2,4,3
1,1,1,1,1,3,6,5,2,2,2,2,4,2,3,2,2,4,1,1
2,2,2,2,3,2,3,1,3,1,5,1,6,3,2,2,1,2,1,3
3,2,2,1,0,2,4,6,1,0,1,2,6,2,2,6,1,4,1,2
4,2,2,3,1,3,5,3,1,2,2,1,4,3,3,3,1,3,2,1
5,1,3,1,1,1,1,2,5,4,1,3,6,3,3,2,1,1,4,2
6,2,3,1,2,1,2,9,3,1,2,2,1,2,5,2,2,1,2,2
7,2,1,1,2,1,2,1,6,2,2,3,5,3,2,1,3,5,1,2
8,1,1,2,2,1,3,3,2,3,3,1,4,2,7,3,2,1,2,2
9,2,2,2,2,2,3,2,2,3,3,3,3,3,2,2,2,3,2,2
10,3,2,2,2,3,3,2,2,3,3,2,2,3,2,2,2,2,3,2
11,3,1,2,2,3,3,2,2,2,3,2,2,3,2,3,1,2,3,4
12,2,3,3,2,2,3,2,2,1,3,2,2,2,4,2,3,2,3,2
13,2,2,2,3,3,3,3,2,2,4,3,2,2,1,3,2,2,2,2
14,2,2,3,2,2,3,3,2,2,2,3,3,2,2,3,2,3,2,2
15,2,1,2,1,2,4,2,1,5,3,2,3,3,1,3,2,3,1,4
