allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,3,2,2,1,1,2,3,1,3,1,2,7,4,1,3,2,3,2
1,1,2,1,1,1,1,2,2,5,5,2,4,1,1,4,3,5,2,2
2,3,1,2,1,1,3,3,1,2,3,3,7,3,1,4,2,1,2,2
3,2,1,3,1,1,1,1,4,3,3,3,4,1,2,3,5,3,3,1
4,1,3,1,1,2,1,1,1,3,7,4,6,2,3,2,1,3,1,2
5,2,1,2,1,1,1,3,2,5,2,2,6,3,4,1,1,2,2,4
6,1,1,1,1,1,3,2,2,2,3,2,5,4,3,4,2,5,1,2
7,3,2,2,1,1,1,3,3,3,2,3,4,3,2,1,1,2,1,7
8,1,2,1,1,3,5,2,1,3,3,1,7,1,2,2,3,2,2,3
9,1,3,0,1,1,4,1,2,4,4,1,6,1,2,2,4,2,4,2
10,1,1,1,1,1,2,2,3,3,4,2,8,3,3,1,3,1,3,2
11,3,2,2,1,1,3,2,1,7,0,2,7,3,2,1,3,2,2,1
12,1,2,2,1,1,3,1,1,2,4,2,7,2,5,1,4,2,3,1
13,1,2,2,1,1,2,2,1,3,4,4,8,1,2,1,1,3,3,3
14,2,2,4,1,2,2,1,3,1,1,3,6,4,2,1,2,2,3,3
15,1,2,2,1,1,5,1,3,3,6,2,5,1,1,3,1,5,1,1
16,2,1,2,1,1,2,2,3,4,4,2,5,2,3,1,3,3,3,1
17,2,1,2,1,3,3,4,2,2,2,2,6,2,1,4,1,1,1,5
18,1,2,3,2,2,3,1,2,1,2,4,12,4,2,1,0,0,2,1
19,3,2,1,1,1,3,1,4,2,3,2,8,2,3,2,1,1,4,1
