allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,4,3,1,2,2,2,2,2,2,3,3,8,2,1,2,1,1,1,3
1,3,2,0,1,1,1,3,4,2,4,5,4,3,2,1,3,2,1,3
2,3,1,1,1,1,2,2,1,5,2,2,8,3,2,2,1,2,3,3
3,1,2,0,1,3,3,2,3,2,3,4,6,4,1,1,1,4,2,2
4,2,1,1,1,1,4,2,2,5,2,3,8,2,1,1,1,4,2,2
5,1,2,2,2,2,3,1,5,3,4,2,6,5,1,1,1,0,1,3
6,1,1,1,2,1,2,2,4,1,5,2,4,4,2,2,5,2,2,2
7,1,1,1,1,1,2,1,2,4,3,1,5,3,1,2,1,6,3,6
8,2,1,1,1,1,3,1,3,3,3,3,10,2,2,1,1,2,2,3
9,1,2,3,1,1,1,3,1,5,4,2,7,1,3,1,1,3,1,4
10,3,1,2,4,1,3,3,3,5,2,3,6,2,0,1,1,3,1,1
11,2,3,1,1,1,3,3,2,4,3,3,2,3,2,1,4,2,1,4
12,2,3,1,3,4,4,2,2,2,2,4,4,1,2,2,1,1,3,2
13,2,2,1,1,1,2,1,1,2,3,2,8,3,2,0,5,3,2,4
14,0,3,1,1,1,1,2,2,4,6,3,8,3,2,1,3,1,2,1
15,1,2,1,3,2,2,1,4,2,4,1,8,3,2,1,1,3,1,3
16,1,2,1,1,1,3,1,4,1,2,2,5,2,3,2,3,4,2,5
17,1,1,1,2,1,1,2,5,2,5,3,6,4,4,1,2,2,2,0
18,3,4,3,1,3,3,1,2,2,2,3,2,2,3,2,1,4,2,2
19,2,3,3,3,2,3,2,3,2,2,1,4,2,2,2,3,2,2,2
20,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,3,2,2,2
21,2,3,1,2,2,2,3,2,2,2,3,3,2,3,3,2,3,3,2
