allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,2,2,2,3,2,2,2,3,3,3,2,2,3,3,2,2,3
1,2,2,3,3,3,2,2,2,2,3,3,2,2,2,3,2,3,2,2
2,3,3,3,2,2,2,3,3,2,2,2,2,2,2,3,2,3,2,2
3,2,3,2,3,2,3,3,2,2,3,3,2,2,2,2,2,2,2,3
4,3,2,3,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3
5,3,3,2,2,3,2,2,3,3,2,2,3,2,2,2,2,3,2,2
6,3,3,3,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2
7,2,3,3,2,3,2,2,2,2,3,2,2,3,2,2,3,2,2,3
8,3,3,2,2,3,2,3,2,2,2,2,2,3,2,2,3,2,2,3
9,3,3,2,3,3,2,3,2,2,2,2,2,3,2,3,2,2,2,2
10,2,3,2,2,3,2,3,2,3,2,2,2,2,2,3,3,2,3,2
11,3,3,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,3,3
12,2,3,3,3,3,2,2,2,2,3,2,2,2,2,3,2,3,2,2
13,2,3,2,3,2,3,3,2,3,2,2,2,3,2,2,3,2,2,2
