ambulance_id,seconds_worked
0,22306
1,33820
2,8293
3,25225
4,12572
5,11082
6,14751
7,21393
8,19122
9,6876
10,10053
11,15180
12,20485
13,23095
14,19239
15,26871
16,19355
17,23085
18,20749
19,17940
20,20507
21,19692
22,25156
23,22012
24,27144
25,22083
26,20386
27,16520
28,28351
29,29344
30,16005
31,16221
32,15439
33,31102
34,6703
35,7704
36,20393
37,28132
38,22355
39,27473
40,30037
41,26887
42,24938
43,18086
44,16503
