ambulance_id,seconds_worked
0,17042
1,0
2,8432
3,12426
4,25588
5,0
6,8334
7,16036
8,24213
9,19513
10,15763
11,14267
12,14773
13,13675
14,12232
15,13712
16,8067
17,11907
18,29769
19,33272
20,32392
21,30072
22,23853
23,25107
24,24951
25,32927
26,31059
27,25334
28,25930
29,19134
30,13046
31,34510
32,16940
33,13048
34,18931
35,14617
36,34827
37,27139
38,24160
39,21232
40,23878
41,21885
42,21450
43,28273
44,32518
