allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,4,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,4,2
1,2,2,3,2,4,2,2,2,2,3,3,3,3,0,2,2,3,3,2
2,3,2,1,2,4,2,2,2,3,3,4,2,2,3,2,3,0,3,2
3,3,2,3,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,3
4,3,3,2,2,2,1,2,4,1,1,2,4,3,1,3,2,2,4,3
5,3,2,2,2,3,3,3,3,2,3,2,3,2,2,3,0,3,2,2
6,2,3,3,3,2,3,3,3,3,2,2,3,3,2,1,2,0,2,3
7,2,1,1,1,1,4,1,3,3,3,1,8,3,0,2,3,3,2,3
8,2,3,3,2,2,2,2,2,3,3,3,1,2,3,2,3,2,3,2
9,1,1,3,1,7,5,2,4,3,3,2,1,4,3,1,2,1,0,1
10,3,2,3,2,2,3,1,2,2,3,2,3,2,2,2,3,2,4,2
11,0,3,1,1,1,2,2,2,3,2,3,9,4,2,1,1,3,2,3
12,1,6,2,1,1,2,1,6,1,4,5,4,1,1,3,2,3,1,0
13,1,2,2,3,1,4,2,3,2,1,2,9,0,1,2,1,2,3,4
14,2,2,1,1,2,1,2,3,6,3,1,7,2,2,2,1,2,2,3
15,1,1,1,2,2,6,2,0,2,3,2,7,3,4,1,3,2,1,2
16,2,1,1,1,1,7,2,2,2,3,5,1,3,2,2,5,3,1,1
17,3,2,1,0,1,6,2,2,1,3,1,6,5,4,0,2,2,2,2
18,1,2,1,0,2,5,1,2,3,3,1,5,2,6,2,3,1,1,4
19,2,4,0,2,1,2,2,4,1,3,1,5,4,1,3,3,2,5,0
20,2,1,2,1,1,1,1,3,4,5,1,7,3,2,1,2,4,2,2
