allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,4,3,1,2,2,2,2,2,2,3,2,7,2,2,2,1,1,2,3
1,3,3,1,1,1,2,3,3,1,2,5,4,3,3,1,3,2,1,3
2,3,1,1,2,3,2,2,2,5,1,1,7,3,2,2,2,2,1,3
3,1,2,1,2,2,3,2,2,1,3,4,6,4,1,1,1,4,3,2
4,2,1,1,1,1,4,2,2,5,3,3,8,2,1,1,1,3,2,2
5,4,2,2,2,1,3,1,5,3,1,2,6,5,1,1,1,1,1,3
6,1,1,1,4,4,2,2,3,2,5,2,2,2,2,2,5,2,2,1
7,2,1,1,1,2,0,2,1,3,3,2,6,4,4,3,1,2,2,5
8,4,3,2,1,1,1,3,5,3,2,1,3,1,1,4,2,3,3,2
9,1,2,1,1,1,2,2,3,5,2,4,9,3,1,1,2,2,1,2
10,3,2,3,2,1,3,2,2,6,3,3,6,1,0,1,1,2,3,1
11,3,3,0,4,1,4,3,3,4,3,1,2,4,2,1,4,2,0,1
12,1,5,2,1,0,3,1,1,3,2,2,6,3,3,1,5,0,4,2
13,3,2,1,1,1,2,2,1,2,2,2,8,3,3,0,5,2,2,3
14,1,3,1,1,1,1,2,2,4,5,3,8,3,2,1,1,0,3,3
