allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,2,1,1,1,0,2,7,3,3,2,6,3,2,3,3,0,2
1,1,0,1,1,1,3,2,2,6,1,2,10,1,3,1,1,3,4,2
2,2,2,2,2,1,7,0,0,2,0,4,8,3,2,3,3,2,2,0
3,1,3,3,2,1,5,0,2,5,5,2,2,3,2,1,3,1,1,3
4,2,3,2,1,1,2,1,1,5,5,5,2,4,1,1,3,1,1,4
5,1,2,3,0,1,2,1,2,3,3,4,7,3,1,2,3,4,1,2
6,2,5,1,2,2,1,5,2,2,2,2,6,1,3,1,3,2,2,1
7,2,2,1,3,1,4,3,1,2,3,0,7,4,3,2,3,2,1,1
8,1,5,1,1,1,3,1,4,3,1,1,7,3,4,1,1,2,3,2
9,1,1,1,1,2,6,2,2,7,4,3,3,2,1,1,1,2,2,3
10,1,2,2,0,3,2,1,2,2,5,3,6,5,1,1,3,2,2,2
11,1,3,2,1,1,4,1,2,3,3,3,3,3,2,2,1,2,5,3
12,3,2,0,1,1,4,1,4,1,3,3,6,2,1,1,2,1,4,5
