allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,3,2,3,2,3,2,1,2,2,2,3,1,3,3,2,5,2,2
1,2,2,2,4,3,2,3,3,2,3,3,2,2,3,2,2,1,2,2
2,3,2,3,4,2,2,3,1,3,3,3,2,2,1,2,2,2,3,2
3,2,2,3,3,2,2,2,2,3,3,2,2,3,2,2,3,3,1,3
4,2,1,2,1,2,3,1,1,5,3,3,8,1,2,2,2,3,1,2
5,1,1,4,1,1,3,1,5,3,4,2,6,5,1,1,1,1,1,3
6,2,2,3,3,2,3,3,2,3,2,3,2,3,2,2,2,2,2,2
7,2,3,2,3,2,2,2,2,2,3,3,3,2,3,2,1,3,3,2
8,2,3,3,4,2,2,2,3,2,1,2,1,2,2,3,3,3,3,2
9,2,1,3,0,2,3,1,2,3,2,1,11,3,1,3,1,3,1,2
10,3,2,1,2,2,2,3,2,2,2,4,2,3,2,4,3,2,2,2
11,2,2,2,3,3,2,3,2,3,2,2,2,2,3,2,2,3,3,2
12,3,3,2,3,3,1,2,3,3,2,2,2,2,2,2,2,2,3,3
13,2,2,3,2,3,3,2,3,3,2,2,3,1,2,3,3,2,2,2
14,3,3,2,2,1,2,1,3,2,4,2,2,2,3,2,3,2,4,2
15,2,2,2,2,4,3,2,3,3,3,2,3,1,1,2,3,2,2,3
