allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,3,2,1,1,4,1,5,0,4,1,3,3,2,4,1,1,4,4
1,3,2,2,3,2,5,1,1,5,0,6,2,1,2,2,1,2,3,2
2,3,2,3,1,1,2,5,3,3,2,1,3,3,4,1,3,2,2,1
3,1,1,1,3,0,2,1,4,3,1,1,10,3,1,3,4,1,2,3
4,1,2,2,1,1,2,2,2,2,5,3,2,4,2,2,1,7,1,3
5,2,3,1,2,3,4,3,3,2,2,2,2,2,2,3,2,2,2,3
6,2,3,3,2,2,2,3,2,2,3,2,2,2,3,3,2,3,2,2
7,3,3,2,2,2,2,3,1,2,2,2,2,3,2,3,2,3,4,2
8,2,3,3,3,4,2,2,2,3,2,2,1,2,2,2,2,4,2,2
9,3,2,3,2,3,3,1,2,4,2,2,2,2,3,2,2,3,1,3
10,2,2,3,4,2,3,2,4,3,2,1,3,2,2,2,1,3,2,2
11,2,3,3,2,3,3,2,2,3,3,3,2,3,2,1,3,2,1,2
12,2,2,2,3,3,2,3,3,2,3,2,2,2,2,2,2,2,3,3
13,3,3,3,2,3,3,1,2,2,2,2,2,2,3,3,2,2,3,2
14,2,2,1,2,3,3,2,2,3,2,3,2,2,2,3,2,3,2,4
15,3,3,2,2,3,2,3,2,2,3,2,2,2,2,2,3,2,3,2
16,2,4,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,3,3
17,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2
