allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,3,2,2,3,2,3,2,4,2,2,2,2,2,3,2,2,3,2,2
1,2,2,2,3,3,2,2,3,2,3,2,3,3,2,2,2,3,2,2
2,3,2,3,2,3,2,2,2,2,3,3,2,2,3,3,2,2,2,2
3,2,3,3,2,4,2,3,2,2,2,2,3,1,3,2,1,3,2,3
4,1,2,3,2,2,2,2,3,2,2,2,3,2,2,3,4,3,3,2
5,4,0,1,0,2,4,2,0,4,1,4,7,2,2,1,4,2,2,3
6,1,1,1,0,2,1,2,2,2,6,2,4,5,2,4,5,2,1,2
7,3,2,1,2,2,3,2,2,2,4,2,2,3,2,3,3,2,2,3
8,2,3,3,3,2,2,2,2,2,3,2,2,3,2,2,3,3,2,2
9,2,2,4,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,3
10,3,2,3,2,3,3,2,2,2,3,2,3,2,2,2,3,2,2,2
11,1,3,1,1,1,3,3,1,4,3,4,3,3,1,1,5,2,0,5
12,2,2,2,3,3,2,2,2,3,3,2,1,3,3,2,2,3,3,2
13,2,2,2,2,2,3,3,2,3,2,3,3,2,1,2,3,3,3,2
14,3,3,3,2,3,3,2,2,3,4,3,2,1,2,1,2,1,3,2
15,3,3,2,2,2,2,3,2,1,3,3,3,2,2,3,2,2,2,3
16,3,2,4,2,2,2,2,3,4,1,4,2,2,3,2,2,2,2,1
17,3,3,4,4,2,2,2,4,3,2,0,3,1,2,2,2,2,1,3
18,2,2,2,3,3,3,2,2,2,2,2,2,3,2,2,2,3,3,3
19,3,3,2,2,1,3,3,2,2,2,2,3,2,3,3,2,3,2,2
20,3,3,3,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2
