allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,3,2,1,4,2,1,4,3,1,4,2,1,2,2,2,3,4
1,3,3,2,2,2,2,2,2,3,2,3,2,3,2,3,3,2,2,2
2,2,2,2,2,2,2,3,3,3,2,3,3,2,3,2,3,2,2,2
3,2,2,2,2,2,3,2,2,2,3,3,3,2,3,2,3,2,3,2
4,2,2,2,3,2,2,3,3,2,1,2,3,3,2,3,2,2,3,3
5,2,3,3,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2
6,3,2,3,2,3,3,2,2,2,3,2,2,3,2,2,2,2,3,2
7,2,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,3,2,2
8,3,2,2,2,2,3,2,3,3,1,3,2,2,3,2,3,2,2,3
9,3,2,3,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2
10,3,2,3,2,2,3,2,2,2,2,3,2,2,2,2,3,3,3,2
11,2,2,3,3,3,2,3,2,3,2,2,2,2,2,3,2,2,2,3
12,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,3,3,3,2
13,3,2,2,3,2,2,3,2,3,3,2,2,2,3,2,3,2,2,2
14,2,3,2,2,3,3,2,2,2,2,2,3,3,2,3,3,2,2,2
15,2,3,2,3,2,3,3,2,3,3,2,2,1,1,2,4,1,3,3
16,2,3,2,3,2,2,3,1,2,3,2,2,4,3,2,2,3,2,2
17,2,2,2,3,3,2,2,3,3,2,2,2,2,2,3,3,2,2,3
18,3,3,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2
19,2,3,2,2,3,2,3,3,2,2,2,2,2,2,3,2,2,3,3
20,3,3,2,2,2,2,2,2,2,3,2,3,3,2,2,3,2,2,3
21,2,2,3,2,3,2,2,3,2,2,3,2,2,3,3,2,2,3,2
22,2,2,2,2,3,3,3,2,2,2,2,2,2,3,3,2,3,2,3
