allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,0,1,1,4,1,3,2,6,2,8,5,1,1,2,3,1,1
1,1,4,3,2,1,3,2,2,1,1,2,8,3,2,1,3,2,2,2
2,3,3,2,2,3,3,1,3,4,1,1,7,1,2,1,3,2,2,1
3,2,5,1,2,1,2,1,2,4,3,1,7,2,1,2,2,2,1,4
4,2,1,4,1,1,5,3,1,3,1,4,5,3,1,2,2,2,1,3
5,3,1,2,2,1,5,1,1,5,3,4,4,5,2,1,2,1,1,1
6,3,3,1,1,2,4,2,1,3,0,3,8,2,1,1,3,1,1,5
7,2,3,2,2,2,2,3,3,2,3,0,3,4,2,2,2,3,3,2
8,1,2,4,1,2,2,1,4,1,3,3,5,3,2,3,3,2,2,1
9,2,5,2,0,1,1,2,4,2,4,5,4,3,2,0,1,4,1,2
10,2,2,2,1,2,4,2,3,1,3,3,4,4,1,2,2,3,2,2
11,1,1,1,1,2,2,2,1,4,2,4,5,2,1,2,4,2,5,3
12,2,1,3,2,2,2,3,3,3,3,1,2,3,2,3,2,2,4,2
13,2,3,2,3,2,4,2,2,2,2,2,2,2,3,2,2,3,2,3
14,2,2,3,3,2,2,3,2,2,3,3,3,1,2,2,3,2,2,3
15,3,2,2,3,2,2,1,3,3,2,2,2,2,3,4,3,1,3,2
16,2,2,3,2,2,2,3,2,3,2,2,2,2,3,3,3,2,3,2
17,2,3,2,2,2,1,3,3,3,3,2,2,2,3,2,2,2,2,4
18,3,2,4,3,2,2,2,3,1,2,2,2,2,2,3,2,3,2,3
19,2,3,2,3,2,1,3,3,3,3,3,2,2,2,2,3,2,1,3
20,2,2,3,3,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3
21,1,5,1,4,1,2,2,4,2,4,2,2,2,4,2,3,2,1,1
22,3,1,1,1,2,2,1,4,2,3,3,8,2,4,1,1,1,2,3
23,3,3,3,2,3,2,1,2,2,2,2,2,2,3,3,3,3,3,1
