allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,2,2,2,4,3,3,2,1,3,2,3,2,3,2,2,2,3
1,3,2,2,2,2,3,2,4,2,2,3,2,2,2,2,3,2,2,3
2,2,2,2,2,3,3,3,2,3,3,2,3,2,1,3,2,2,3,2
3,1,3,2,2,2,2,3,3,3,2,3,2,2,3,3,3,2,2,2
4,3,2,3,2,1,2,2,1,4,4,3,1,2,2,2,3,3,2,3
5,2,2,3,1,2,3,3,2,3,1,2,3,2,3,3,3,2,2,3
6,3,2,2,2,4,2,3,3,2,1,2,3,3,2,2,2,3,3,1
7,3,2,2,2,2,2,3,4,2,3,2,3,2,2,1,2,3,2,3
8,3,2,1,3,3,2,1,2,3,3,3,2,3,2,3,3,1,3,2
9,3,4,2,1,2,2,2,3,2,3,2,3,2,3,1,3,2,2,3
10,2,1,2,4,2,3,0,2,4,4,2,2,3,1,2,3,3,3,2
11,2,1,2,2,2,4,2,3,1,3,3,2,3,0,2,1,3,5,4
12,3,1,4,2,3,2,2,2,3,2,3,2,3,1,3,2,1,3,3
13,2,2,2,2,1,3,2,3,3,2,3,2,1,3,1,3,3,2,5
14,2,3,2,2,3,3,3,2,2,2,3,3,2,2,3,2,3,1,2
15,0,2,0,1,2,1,3,5,3,2,3,8,2,3,3,3,2,1,1
16,3,1,3,2,2,1,2,3,2,3,2,3,2,2,2,2,2,3,5
17,2,3,2,2,3,2,2,2,3,2,2,3,2,3,2,3,2,3,2
18,3,2,3,3,3,3,2,2,0,1,2,3,2,3,3,3,2,2,3
