allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,1,2,1,2,2,3,2,3,4,3,4,1,3,2,3,3,2
1,2,2,4,2,3,3,2,2,3,2,2,2,1,3,3,2,2,3,2
2,2,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,3,2,3
3,1,2,2,1,3,2,2,2,4,2,2,2,3,3,2,4,3,2,3
4,3,3,2,2,2,3,2,2,3,3,3,1,2,2,4,2,2,2,2
5,2,3,2,2,4,2,2,2,3,1,2,2,3,2,2,3,3,3,2
6,2,2,2,3,4,2,2,2,2,3,3,2,2,3,2,2,2,3,2
7,3,1,2,2,3,3,3,3,2,3,2,2,2,2,2,3,2,2,3
8,3,3,1,4,3,3,2,2,1,1,3,3,2,2,2,2,2,4,2
9,4,3,2,2,2,2,2,4,2,2,2,2,2,1,2,3,3,2,3
10,3,3,3,2,2,2,2,2,3,3,3,2,2,1,2,3,2,3,2
11,2,3,3,2,3,2,3,3,2,2,2,3,3,1,2,3,2,2,2
12,2,1,2,2,3,2,2,4,2,2,2,2,2,4,3,2,3,2,3
13,2,3,3,2,2,2,2,2,2,3,3,2,1,3,3,3,2,3,2
14,3,2,3,2,2,3,2,2,2,2,4,2,3,2,2,2,4,2,1
15,3,1,3,2,2,2,2,4,2,2,2,3,1,2,3,2,3,3,3
16,3,3,2,2,4,2,3,2,1,0,1,3,1,3,3,3,3,3,3
17,2,3,3,2,2,2,3,3,2,2,1,2,2,4,3,2,2,2,3
18,3,2,3,1,3,3,2,2,1,3,2,2,4,1,2,3,2,3,3
19,3,4,2,2,4,2,2,2,3,2,3,2,1,2,0,3,3,3,2
