allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,3,2,2,2,4,2,2,3,2,4,2,2,3,2,2,1,3
1,2,2,3,2,3,2,2,3,1,3,3,3,2,2,4,2,1,2,3
2,2,2,3,3,2,2,2,3,2,3,2,3,2,2,2,2,1,3,4
3,3,3,2,2,2,1,2,2,3,2,2,4,3,2,2,2,2,3,3
4,2,2,3,2,3,2,2,2,2,3,2,3,2,2,3,2,3,3,2
5,2,2,2,2,2,3,2,3,2,4,2,2,3,3,2,3,2,2,2
6,3,2,4,2,1,2,2,2,2,2,2,3,3,3,3,2,2,2,3
7,2,2,2,3,2,2,3,3,2,2,2,3,3,2,3,2,2,2,3
8,3,2,2,3,2,3,2,2,2,3,3,2,2,2,2,2,2,3,3
9,2,2,3,2,3,3,2,2,2,2,2,2,3,3,2,3,3,2,2
10,3,3,4,4,0,3,2,2,3,4,1,1,1,2,2,2,2,3,3
11,2,2,2,3,3,2,3,3,3,2,2,2,3,2,3,2,2,2,2
12,2,2,2,3,3,2,3,2,2,3,2,2,3,2,2,3,3,2,2
13,2,2,3,2,2,4,3,2,3,3,3,2,2,2,2,2,3,1,2
14,2,2,3,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,3
15,2,2,2,3,2,3,3,2,3,2,3,3,2,2,1,2,3,3,2
16,2,3,0,3,3,3,2,2,2,2,4,3,2,3,1,1,2,3,4
