allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,3,2,3,2,3,3,2,2,1,2,3,2,5,2,2,2,2,2
1,2,2,2,3,1,4,3,3,2,1,2,3,2,3,3,2,3,2,2
2,0,0,1,1,2,2,3,1,4,3,2,7,2,2,5,2,4,3,1
3,1,1,0,1,3,4,1,0,4,1,1,7,5,1,1,2,2,4,6
