allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,1,1,1,2,2,1,3,2,3,2,6,3,1,1,2,0,2,2
1,2,1,3,1,2,4,2,2,2,2,1,2,1,1,3,3,1,3,1
2,1,2,2,1,3,2,2,2,1,1,1,1,1,2,2,2,2,4,5
3,2,3,1,2,2,2,2,2,2,3,2,3,2,1,2,1,1,2,2
