ambulance_id,seconds_worked
0,6844
1,8978
2,16183
3,20336
4,33466
5,23408
6,15160
7,24403
8,13380
9,15380
10,10078
11,7999
12,7686
13,5405
14,8128
15,21787
16,21495
17,18258
18,15168
19,14183
20,13837
21,19256
22,19295
23,24619
24,15688
25,18103
26,18368
27,19511
28,14111
29,22289
30,20541
31,15214
32,22430
33,27984
34,11685
35,9983
36,16873
37,11258
38,16620
39,17950
40,6269
41,12944
42,4711
43,16001
44,9716
45,18516
46,20100
47,23342
48,22945
49,11872
50,22252
51,17072
52,8380
53,12823
54,25999
55,32531
56,11735
