ambulance_id,seconds_worked
0,7497
1,6979
2,18248
3,4557
4,10106
5,17406
6,0
7,0
8,8244
9,15217
10,24856
11,14028
12,1786
13,6403
14,0
15,18809
16,13281
17,13274
18,5139
19,9054
20,10151
21,6978
22,8517
23,8853
24,11112
25,5103
26,23533
27,23942
28,26696
29,18091
30,25263
31,29158
32,26891
33,22977
34,25020
35,18347
36,25961
37,26928
38,30112
39,13937
40,16672
41,19612
42,14165
43,10596
44,10853
45,12281
46,9423
47,27150
48,13848
49,6711
50,14307
51,23098
52,14820
53,18909
54,18653
55,13791
56,21518
57,19205
58,31084
59,15481
