ambulance_id,seconds_worked
0,6808
1,8452
2,27610
3,7980
4,10301
5,0
6,0
7,8268
8,30402
9,15414
10,7397
11,11794
12,0
13,17654
14,15233
15,13272
16,15362
17,13938
18,12270
19,17068
20,8573
21,10013
22,8856
23,16933
24,29251
25,21409
26,15023
27,23829
28,27169
29,26282
30,23258
31,14697
32,14742
33,28007
34,29512
35,25698
36,21127
37,24191
38,13232
39,11380
40,13051
41,14699
42,12952
43,29523
44,14963
45,14527
46,9330
47,19665
48,15934
49,20010
50,16935
51,22387
52,15374
53,26105
54,28785
55,16719
