ambulance_id,seconds_worked
0,25843
1,0
2,0
3,14339
4,12469
5,10139
6,0
7,8289
8,0
9,17536
10,15100
11,17033
12,25891
13,7142
14,0
15,18784
16,11457
17,12198
18,3462
19,5429
20,21430
21,5572
22,15200
23,2947
24,22686
25,26120
26,23998
27,26329
28,24071
29,16112
30,22271
31,22565
32,34300
33,22669
34,23781
35,24834
36,22490
37,23021
38,20944
39,13706
40,14767
41,12202
42,16365
43,22738
44,12302
45,6689
46,12683
47,11597
48,21790
49,18218
50,20203
51,7275
52,16265
53,23469
54,15092
55,24769
56,16264
57,25772
