allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,6,1,1,1,1,1,2,2,5,6,3,2,2,2,1,2,6
1,3,1,2,2,5,0,1,0,2,3,9,2,3,3,3,4,1,1
2,0,2,0,2,1,2,4,5,2,8,2,2,2,3,2,2,1,5
3,1,3,2,2,0,2,3,5,4,0,6,1,2,2,2,2,3,5
