allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,2,4,1,5,3,1,6,2,1,5,4,0,2,2,2,2,2
1,1,2,2,1,3,0,5,3,2,1,9,1,4,2,3,3,2,1
2,2,1,2,0,4,0,3,4,2,1,8,5,3,4,3,1,1,1
3,3,2,2,1,1,2,1,5,3,5,2,3,3,1,2,5,1,3
