allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,4,2,1,1,1,5,2,3,5,2,1,2,2,2,4,1,1,6
1,2,2,4,2,1,2,2,2,1,1,6,4,2,1,4,2,5,2
2,1,0,1,2,1,5,3,3,2,1,7,4,5,2,2,2,2,2
3,1,4,1,2,1,1,2,3,2,5,7,1,2,1,2,1,5,4
