allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,2,0,2,2,0,3,3,4,3,3,2,2,2,5,4,2
1,1,1,4,1,1,1,2,1,2,2,2,6,3,2,4,2,4,3,3
2,1,2,1,1,2,5,2,1,4,4,2,6,1,1,5,3,1,1,2
3,2,1,1,2,2,4,1,1,2,4,3,6,2,1,1,2,3,4,3
