allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,2,2,1,5,2,1,1,3,1,5,1,3,2,4,5,4,2
1,2,3,1,1,2,2,1,8,1,3,7,1,1,0,2,6,3,1
2,1,2,1,1,2,2,4,3,1,1,7,3,3,4,3,2,3,2
3,5,0,2,2,5,2,1,5,0,3,1,2,2,1,1,1,3,9
