ambulance_id,seconds_worked
0,23605
1,11755
2,20346
3,31927
4,20919
5,15449
6,5791
7,19671
8,6195
9,9639
10,20469
11,25581
12,22738
13,9922
14,15466
15,23147
16,24425
17,18277
18,30623
19,23563
20,22822
21,20066
22,30360
23,31101
24,19071
25,24656
26,17167
27,18136
28,20367
29,22167
30,18778
31,29635
32,23429
33,20565
34,27499
35,11545
36,12179
37,15350
38,14922
39,21102
40,24684
41,30193
42,26032
43,37230
44,31850
